Date,Close
07/04/2023,"19415.68"
07/03/2023,"19306.59"
06/30/2023,"18916.43"
06/29/2023,"18934.36"
06/28/2023,"19172.05"
06/27/2023,"19148.13"
06/26/2023,"18794.13"
06/23/2023,"18889.97"
06/21/2023,"19218.35"
06/20/2023,"19607.08"
06/19/2023,"19912.89"
06/16/2023,"20040.37"
06/15/2023,"19828.92"
06/14/2023,"19408.42"
06/13/2023,"19521.42"
06/12/2023,"19404.31"
06/09/2023,"19389.95"
06/08/2023,"19299.18"
06/07/2023,"19252.00"
06/06/2023,"19099.28"
06/05/2023,"19108.50"
06/02/2023,"18949.94"
06/01/2023,"18216.91"
05/31/2023,"18234.27"
05/30/2023,"18595.78"
05/29/2023,"18551.11"
05/25/2023,"18746.92"
05/24/2023,"19115.93"
05/23/2023,"19431.25"
05/22/2023,"19678.17"
05/19/2023,"19450.57"
05/18/2023,"19727.25"
05/17/2023,"19560.57"
05/16/2023,"19978.25"
05/15/2023,"19971.13"
05/12/2023,"19627.24"
05/11/2023,"19743.79"
05/10/2023,"19762.20"
05/09/2023,"19867.58"
05/08/2023,"20297.03"
05/05/2023,"20049.31"
05/04/2023,"19948.73"
05/03/2023,"19699.16"
05/02/2023,"19933.81"
04/28/2023,"19894.57"
04/27/2023,"19840.28"
04/26/2023,"19757.27"
04/25/2023,"19617.88"
04/24/2023,"19959.94"
04/21/2023,"20075.73"
04/20/2023,"20396.97"
04/19/2023,"20367.76"
04/18/2023,"20650.51"
04/17/2023,"20782.45"
04/14/2023,"20438.81"
04/13/2023,"20344.48"
04/12/2023,"20309.86"
04/11/2023,"20485.24"
04/06/2023,"20331.20"
04/04/2023,"20274.59"
04/03/2023,"20409.18"
03/31/2023,"20400.11"
03/30/2023,"20309.13"
03/29/2023,"20192.40"
03/28/2023,"19784.65"
03/27/2023,"19567.69"
03/24/2023,"19915.68"
03/23/2023,"20049.64"
03/22/2023,"19591.43"
03/21/2023,"19258.76"
03/20/2023,"19000.71"
03/17/2023,"19518.59"
03/16/2023,"19203.91"
03/15/2023,"19539.87"
03/14/2023,"19247.96"
03/13/2023,"19695.97"
03/10/2023,"19319.92"
03/09/2023,"19925.74"
03/08/2023,"20051.25"
03/07/2023,"20534.48"
03/06/2023,"20603.19"
03/03/2023,"20567.54"
03/02/2023,"20429.46"
03/01/2023,"20619.71"
02/28/2023,"19785.94"
02/27/2023,"19943.51"
02/24/2023,"20010.04"
02/23/2023,"20351.35"
02/22/2023,"20423.84"
02/21/2023,"20529.49"
02/20/2023,"20886.96"
02/17/2023,"20719.81"
02/16/2023,"20987.67"
02/15/2023,"20812.17"
02/14/2023,"21113.76"
02/13/2023,"21164.42"
02/10/2023,"21190.42"
02/09/2023,"21624.36"
02/08/2023,"21283.52"
02/07/2023,"21298.70"
02/06/2023,"21222.16"
02/03/2023,"21660.47"
02/02/2023,"21958.36"
02/01/2023,"22072.18"
01/31/2023,"21842.33"
01/30/2023,"22069.73"
01/27/2023,"22688.90"
01/26/2023,"22566.78"
01/20/2023,"22044.65"
01/19/2023,"21650.98"
01/18/2023,"21678.00"
01/17/2023,"21577.64"
01/16/2023,"21746.72"
01/13/2023,"21738.66"
01/12/2023,"21514.10"
01/11/2023,"21436.05"
01/10/2023,"21331.46"
01/09/2023,"21388.34"
01/06/2023,"20991.64"
01/05/2023,"21052.17"
01/04/2023,"20793.11"
01/03/2023,"20145.29"
12/30/2022,"19781.41"
12/29/2022,"19741.14"
12/28/2022,"19898.91"
12/23/2022,"19593.06"
12/22/2022,"19679.22"
12/21/2022,"19160.49"
12/20/2022,"19094.80"
12/19/2022,"19352.81"
12/16/2022,"19450.67"
12/15/2022,"19368.59"
12/14/2022,"19673.45"
12/13/2022,"19596.20"
12/12/2022,"19463.63"
12/09/2022,"19900.87"
12/08/2022,"19450.23"
12/07/2022,"18814.82"
12/06/2022,"19441.18"
12/05/2022,"19518.29"
