Date,Close
11/30/2023,"11,177.48"
11/29/2023,"11,103.05"
11/28/2023,"11,100.92"
11/27/2023,"11,080.74"
11/26/2023,"11,090.42"
11/23/2023,"11,078.08"
11/22/2023,"11,099.98"
11/21/2023,"11,129.10"
11/20/2023,"11,118.94"
11/19/2023,"11,137.03"
11/16/2023,"11,081.97"
11/15/2023,"11,022.89"
11/14/2023,"10,857.10"
11/13/2023,"10,789.75"
11/12/2023,"10,833.64"
11/09/2023,"10,840.76"
11/08/2023,"10,928.76"
11/07/2023,"10,945.97"
11/06/2023,"10,948.86"
11/05/2023,"10,938.95"
11/02/2023,"10,853.36"
11/01/2023,"10,814.89"
10/31/2023,"10,690.09"
10/30/2023,"10,535.87"
10/29/2023,"10,482.85"
10/26/2023,"10,408.94"
10/25/2023,"10,504.76"
10/24/2023,"10,379.71"
10/23/2023,"10,293.19"
10/22/2023,"10,496.16"
10/19/2023,"10,654.56"
10/18/2023,"10,714.06"
10/17/2023,"10,731.40"
10/16/2023,"10,622.12"
10/15/2023,"10,542.86"
10/12/2023,"10,586.22"
10/11/2023,"10,572.70"
10/10/2023,"10,640.06"
10/09/2023,"10,575.34"
10/08/2023,"10,596.02"
10/05/2023,"10,764.85"
10/04/2023,"10,840.27"
10/03/2023,"10,952.34"
10/02/2023,"11,005.94"
10/01/2023,"11,040.17"
09/28/2023,"11,055.96"
09/27/2023,"11,076.94"
09/26/2023,"10,918.24"
09/25/2023,"10,877.94"
09/21/2023,"10,949.42"
09/20/2023,"11,061.50"
09/19/2023,"11,070.77"
09/18/2023,"11,036.04"
09/17/2023,"11,104.15"
09/14/2023,"11,154.54"
09/13/2023,"11,122.23"
09/12/2023,"11,156.26"
09/11/2023,"11,235.14"
09/10/2023,"11,154.05"
09/07/2023,"11,215.56"
09/06/2023,"11,298.16"
09/05/2023,"11,410.98"
09/04/2023,"11,430.87"
09/03/2023,"11,455.78"
08/31/2023,"11,491.20"
08/30/2023,"11,574.75"
08/29/2023,"11,442.56"
08/28/2023,"11,464.26"
08/27/2023,"11,470.11"
08/24/2023,"11,405.30"
08/23/2023,"11,367.07"
08/22/2023,"11,377.55"
08/21/2023,"11,408.45"
08/20/2023,"11,501.42"
08/17/2023,"11,451.31"
08/16/2023,"11,392.76"
08/15/2023,"11,412.88"
08/14/2023,"11,493.82"
08/13/2023,"11,546.15"
08/10/2023,"11,424.12"
08/09/2023,"11,286.21"
08/08/2023,"11,244.27"
08/07/2023,"11,271.94"
08/06/2023,"11,351.48"
08/03/2023,"11,375.78"
08/02/2023,"11,478.28"
08/01/2023,"11,636.07"
07/31/2023,"11,692.23"
07/30/2023,"11,789.28"
07/27/2023,"11,847.72"
07/26/2023,"11,906.13"
07/25/2023,"11,882.68"
07/24/2023,"11,801.90"
07/23/2023,"11,760.30"
07/20/2023,"11,755.94"
07/19/2023,"11,752.63"
07/18/2023,"11,768.71"
07/17/2023,"11,780.27"
07/16/2023,"11,715.50"
07/13/2023,"11,707.87"
07/12/2023,"11,727.19"
07/11/2023,"11,664.50"
07/10/2023,"11,586.93"
07/09/2023,"11,609.35"
07/06/2023,"11,597.91"
07/05/2023,"11,591.55"
07/04/2023,"11,618.72"
07/03/2023,"11,545.13"
07/02/2023,"11,493.91"
06/22/2023,"11,458.98"
06/21/2023,"11,466.17"
06/20/2023,"11,431.37"
06/19/2023,"11,421.70"
06/18/2023,"11,516.89"
06/15/2023,"11,516.14"
06/14/2023,"11,533.03"
06/13/2023,"11,413.82"
06/12/2023,"11,423.13"
06/11/2023,"11,396.13"
06/08/2023,"11,397.14"
06/07/2023,"11,372.83"
06/06/2023,"11,316.87"
06/05/2023,"11,293.59"
06/04/2023,"11,221.96"
06/01/2023,"11,014.95"
05/31/2023,"11,014.13"
05/30/2023,"11,139.98"
05/29/2023,"11,135.67"
05/28/2023,"11,138.05"
05/25/2023,"11,184.57"
05/24/2023,"11,236.27"
05/23/2023,"11,275.77"
05/22/2023,"11,329.19"
05/21/2023,"11,341.82"
05/18/2023,"11,344.40"
05/17/2023,"11,277.60"
05/16/2023,"11,206.02"
05/15/2023,"11,230.20"
05/14/2023,"11,348.43"
05/11/2023,"11,392.78"
05/10/2023,"11,293.18"
05/09/2023,"11,305.28"
05/08/2023,"11,256.39"
05/07/2023,"11,256.65"
05/04/2023,"11,118.77"
05/03/2023,"11,073.17"
05/02/2023,"11,218.61"
05/01/2023,"11,285.61"
04/30/2023,"11,307.77"
04/27/2023,"11,271.19"
04/26/2023,"11,307.22"
04/25/2023,"11,265.11"
04/17/2023,"11,163.57"
04/16/2023,"11,032.57"
04/13/2023,"10,964.67"
04/12/2023,"10,935.39"
04/11/2023,"10,849.05"
04/10/2023,"10,905.48"
04/09/2023,"10,965.78"
04/06/2023,"10,906.15"
04/05/2023,"10,920.63"
04/04/2023,"10,948.60"
04/03/2023,"10,806.89"
04/02/2023,"10,636.62"
